"filename", "language", "JavaScript", "Sass", "SCSS", "Vue", "XML", "comment", "blank", "total"
"f:\BK\year5.1\project 3\front-end\src\views\Account\AccountApplication.vue", "Vue", 0, 0, 0, 50, 0, 0, 8, 58
"f:\BK\year5.1\project 3\front-end\src\views\Account\AccountManagementPage.vue", "Vue", 0, 0, 0, 73, 0, 0, 8, 81
"f:\BK\year5.1\project 3\front-end\src\views\Auth\ForgotPassword.vue", "Vue", 0, 0, 0, 63, 0, 8, 6, 77
"f:\BK\year5.1\project 3\front-end\src\views\Auth\SignInPage.vue", "Vue", 0, 0, 0, 93, 0, 2, 9, 104
"f:\BK\year5.1\project 3\front-end\src\views\Auth\SignUpPage.vue", "Vue", 0, 0, 0, 92, 0, 2, 14, 108
"f:\BK\year5.1\project 3\front-end\src\views\Job\JobDetailPage.vue", "Vue", 0, 0, 0, 126, 0, 3, 17, 146
"f:\BK\year5.1\project 3\front-end\src\views\Job\SearchJobsPage.vue", "Vue", 0, 0, 0, 127, 0, 6, 13, 146
"f:\BK\year5.1\project 3\front-end\src\views\LandingPage.vue", "Vue", 0, 0, 0, 176, 0, 2, 18, 196
"f:\BK\year5.1\project 3\front-end\src\views\NotFound\NotFound.vue", "Vue", 0, 0, 0, 9, 0, 0, 4, 13
"f:\BK\year5.1\project 3\front-end\src\views\TestPage.vue", "Vue", 0, 0, 0, 194, 0, 7, 20, 221
"Total", "-", 59680, 9, 11, 4244, 1, 128, 563, 64636
